operation_count,data_distribution
250,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '72.13 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '194.73 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
500,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '72.13 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '215.99 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
750,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '72.13 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '226.02 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
1000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '72.13 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '221.52 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
1250,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '72.13 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '247.89 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
1500,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '72.13 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '258.2 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
1750,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '72.13 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '253.77 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
2000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '72.13 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '234.64 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
2250,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '72.13 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '244.63 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
2500,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '178.28 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '256.29 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
2750,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '178.28 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '278.74 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
3000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '178.28 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '288.41 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
3250,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '178.28 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '282.69 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
3500,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '178.28 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '265.75 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
3750,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '178.28 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '275.19 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
4000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '178.28 KiB', 'tokens': 16, 'owns': '51.2%', 'host_id': '6d194555-f6eb-41d0-c000-000000000002', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '288.14 KiB', 'tokens': 16, 'owns': '48.8%', 'host_id': '6d194555-f6eb-41d0-c000-000000000001', 'rack': 'rack1'}]"
