operation_count,data_distribution
1000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '198.8 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '247.35 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '200.42 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '255.12 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
2000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '198.8 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '263.22 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '200.42 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '255.12 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
3000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '198.8 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '278.54 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '200.42 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '255.12 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
4000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '281.91 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '200.42 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '255.12 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
5000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '299.43 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '255.12 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
6000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '315.59 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '255.12 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
7000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '317.65 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '255.12 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
8000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '334.84 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '255.12 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
9000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '350.33 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
10000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '353.52 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
11000,"[{'status': 'UN', 'address': '127.0.0.2', 'load': '206.23 KiB', 'tokens': 16, 'owns': '24.0%', 'host_id': 'bc2f02b5-583a-48f7-a175-dc42f9b9833c', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.1', 'load': '368.93 KiB', 'tokens': 16, 'owns': '27.1%', 'host_id': '92e95261-446e-4504-b812-27e6ad715fa9', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.4', 'load': '188.96 KiB', 'tokens': 16, 'owns': '19.0%', 'host_id': '79f70935-8413-409f-bd29-ade7823007db', 'rack': 'rack1'}, {'status': 'UN', 'address': '127.0.0.3', 'load': '238.42 KiB', 'tokens': 16, 'owns': '29.8%', 'host_id': '9c65e243-b542-480a-a139-68e43333c09b', 'rack': 'rack1'}]"
